Pallet: "collective", Extrinsic: "set_members", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,n,p,extrinsic_time,storage_root_time
7,100,100,813105,325420
8,100,100,855790,327064
8,100,100,825459,327080
8,100,100,821859,327983
8,100,100,833697,326427
8,100,100,826265,326522
8,100,100,821423,325940
8,100,100,824986,327781
8,100,100,825143,325695
8,100,100,829117,326311
8,100,100,825516,326602
8,100,100,824673,326235
8,100,100,828110,325426
8,100,100,832420,330108
8,100,100,827706,327502
8,100,100,819537,327661
8,100,100,860438,326938
8,100,100,820339,326819
8,100,100,822704,327621
8,100,100,823783,326628
8,100,100,826729,327178
9,100,100,843640,329563
9,100,100,840269,326858
9,100,100,842982,327456
9,100,100,846513,327341
9,100,100,839764,327867
9,100,100,840395,328947
9,100,100,839180,327995
9,100,100,835900,326982
9,100,100,837709,327476
9,100,100,837456,327134
9,100,100,841538,327547
9,100,100,842381,327537
9,100,100,843591,327993
9,100,100,844953,329496
9,100,100,844551,327423
9,100,100,842209,328700
9,100,100,835889,329135
9,100,100,840850,328808
9,100,100,843581,328149
9,100,100,843002,328609
10,100,100,853164,329074
10,100,100,858219,328839
10,100,100,855712,328165
10,100,100,860500,328775
10,100,100,865056,328287
10,100,100,859335,326754
10,100,100,858174,328511
10,100,100,855794,327152
10,100,100,852793,358706
10,100,100,856444,328883
10,100,100,856641,327310
10,100,100,867925,329752
10,100,100,857550,327648
10,100,100,857974,327294
10,100,100,862131,328688
10,100,100,863099,328650
10,100,100,857545,328617
10,100,100,862784,329483
10,100,100,862017,328878
10,100,100,859419,331143
11,100,100,887884,327663
11,100,100,887689,327321
11,100,100,892557,329679
11,100,100,915613,328689
11,100,100,887413,328944
11,100,100,883190,329130
11,100,100,884651,329685
11,100,100,884705,328700
11,100,100,882640,328802
11,100,100,881511,328276
11,100,100,887781,327834
11,100,100,892450,328483
11,100,100,885730,327330
11,100,100,884717,328113
11,100,100,883575,328655
11,100,100,880815,327236
11,100,100,873157,330231
11,100,100,872697,331282
11,100,100,886294,331616
11,100,100,883872,329663
12,100,100,884936,330096
12,100,100,899509,329805
12,100,100,902253,329937
12,100,100,889285,330389
12,100,100,904107,330156
12,100,100,902907,329594
12,100,100,894975,332501
12,100,100,897254,329253
12,100,100,900841,327885
12,100,100,894036,329595
12,100,100,897970,329288
12,100,100,902968,331491
12,100,100,906504,330726
12,100,100,898398,329124
12,100,100,894175,329876
12,100,100,900770,328105
12,100,100,891983,330683
12,100,100,900973,328748
12,100,100,888616,328956
12,100,100,901679,329393
13,100,100,916088,332574
13,100,100,921000,327907
13,100,100,918599,329288
13,100,100,916995,327818
13,100,100,919743,329491
13,100,100,919691,329819
13,100,100,916922,329056
13,100,100,924690,330012
13,100,100,918714,331472
13,100,100,920572,329987
13,100,100,911743,329912
13,100,100,944703,338238
13,100,100,945740,338123
13,100,100,941257,338217
13,100,100,938392,337624
13,100,100,939580,336134
13,100,100,945314,335842
13,100,100,947225,336157
13,100,100,944692,335254
13,100,100,937618,339194
14,100,100,964389,337980
14,100,100,956466,337722
14,100,100,958934,338619
14,100,100,959999,338724
14,100,100,948133,338053
14,100,100,961860,337341
14,100,100,956284,338554
14,100,100,955264,338829
14,100,100,1212883,331554
14,100,100,955134,341057
14,100,100,958136,340990
14,100,100,961575,339533
14,100,100,936553,330267
14,100,100,936399,330999
14,100,100,935040,331174
14,100,100,945757,331057
14,100,100,936880,330293
14,100,100,934765,330492
14,100,100,932730,332401
14,100,100,940014,331513
15,100,100,949234,331178
15,100,100,946540,363095
15,100,100,942688,331761
15,100,100,954526,332305
15,100,100,948992,332391
15,100,100,980049,332775
15,100,100,951280,330819
15,100,100,948401,333196
15,100,100,948506,331425
15,100,100,951692,331817
15,100,100,955187,331898
15,100,100,952442,331687
15,100,100,945714,333370
15,100,100,950853,331394
15,100,100,956182,330647
15,100,100,948643,331635
15,100,100,982632,329794
15,100,100,951671,332594
15,100,100,953302,331800
15,100,100,951213,333820
16,100,100,968592,331775
16,100,100,962528,330979
16,100,100,960520,331832
16,100,100,957545,331749
16,100,100,957190,330593
16,100,100,958552,331060
16,100,100,960719,331608
16,100,100,965154,331259
16,100,100,963314,333118
16,100,100,965939,331485
16,100,100,965436,334295
16,100,100,966619,332609
16,100,100,969833,332521
16,100,100,960747,334491
16,100,100,966408,331309
16,100,100,959317,331890
16,100,100,959131,331554
16,100,100,966704,332130
16,100,100,959042,332231
16,100,100,957690,330553
17,100,100,987805,330706
17,100,100,1023699,332118
17,100,100,996672,332539
17,100,100,987178,332433
17,100,100,993676,331833
17,100,100,993030,331856
17,100,100,991282,331716
17,100,100,991912,331801
17,100,100,990547,331501
17,100,100,997629,331647
17,100,100,993260,333213
17,100,100,988736,332295
17,100,100,999731,331859
17,100,100,1022862,330860
17,100,100,1000704,331719
17,100,100,993011,332317
17,100,100,1001413,332500
17,100,100,998860,332866
17,100,100,989694,332282
17,100,100,1003813,333582
18,100,100,1008249,332720
18,100,100,1003731,332827
18,100,100,1008653,331309
18,100,100,1002507,332432
18,100,100,998865,332355
18,100,100,1005618,330647
18,100,100,1006708,333376
18,100,100,996626,331241
18,100,100,1011412,331609
18,100,100,998526,330452
18,100,100,999967,332074
18,100,100,997315,329753
18,100,100,993534,332052
18,100,100,1033888,332205
18,100,100,1014549,335052
18,100,100,1006608,330895
18,100,100,999184,330909
18,100,100,1001962,332882
18,100,100,1007090,331358
18,100,100,1002530,330226
19,100,100,1017987,334265
19,100,100,1022399,335112
19,100,100,1017304,332835
19,100,100,1014748,334025
19,100,100,1016709,332927
19,100,100,1021806,332793
19,100,100,1022734,334353
19,100,100,1016442,333199
19,100,100,1019448,336392
19,100,100,1018770,334332
19,100,100,1022268,333757
19,100,100,1018866,333469
19,100,100,1017799,333599
19,100,100,1020677,333862
19,100,100,1030884,332509
19,100,100,1026405,332828
19,100,100,1055469,334233
19,100,100,1026353,334055
19,100,100,1021093,333567
19,100,100,1017302,331391
20,100,100,1055740,332961
20,100,100,1037095,334100
20,100,100,1038182,334475
20,100,100,1030647,332263
20,100,100,1036373,333803
20,100,100,1050167,333891
20,100,100,1044352,333682
20,100,100,1052685,333540
20,100,100,1044187,334198
20,100,100,1035866,333737
20,100,100,1050354,333467
20,100,100,1036687,332157
20,100,100,1044417,334317
20,100,100,1043825,333284
20,100,100,1040591,334597
20,100,100,1040379,333159
20,100,100,1043887,333438
20,100,100,1040689,338096
20,100,100,1044131,336122
20,100,100,1055094,332708
21,100,100,1062821,332151
21,100,100,1056833,335743
21,100,100,1051621,333524
21,100,100,1055761,333692
21,100,100,1065890,333555
21,100,100,1062170,333009
21,100,100,1056124,333677
21,100,100,1062897,335631
21,100,100,1080264,341848
21,100,100,1051059,333660
21,100,100,1059247,332584
21,100,100,1054681,334627
21,100,100,1052543,332498
21,100,100,1061425,333757
21,100,100,1058028,334659
21,100,100,1052983,333241
21,100,100,1060562,333669
21,100,100,1057682,332412
21,100,100,1053547,332852
21,100,100,1058061,334573
22,100,100,1074378,334098
22,100,100,1075263,332549
22,100,100,1074612,333131
22,100,100,1079636,334403
22,100,100,1080057,333394
22,100,100,1077910,333518
22,100,100,1080012,333786
22,100,100,1075269,335199
22,100,100,1071880,335570
22,100,100,1073897,334570
22,100,100,1074721,333598
22,100,100,1081572,333224
22,100,100,1075770,334126
22,100,100,1100116,333826
22,100,100,1071769,334028
22,100,100,1079815,334133
22,100,100,1077481,334871
22,100,100,1081112,333682
22,100,100,1071679,334927
22,100,100,1095569,349452
23,100,100,1083374,338369
23,100,100,1089405,334066
23,100,100,1090645,334712
23,100,100,1084576,333371
23,100,100,1085670,333048
23,100,100,1084083,330940
23,100,100,1083149,331515
23,100,100,1089661,332377
23,100,100,1085397,334640
23,100,100,1079139,334557
23,100,100,1087466,334801
23,100,100,1090534,333200
23,100,100,1079684,331872
23,100,100,1087449,334818
23,100,100,1087657,335123
23,100,100,1079014,349840
23,100,100,1119634,342675
23,100,100,1125705,344757
23,100,100,1116672,342819
23,100,100,1104662,340438
24,100,100,1141058,341876
24,100,100,1132262,341773
24,100,100,1166663,334459
24,100,100,1134783,340886
24,100,100,1140400,340928
24,100,100,1131513,341516
24,100,100,1133295,339030
24,100,100,1139657,341110
24,100,100,1138288,341122
24,100,100,1133129,341952
24,100,100,1133874,341049
24,100,100,1136757,340875
24,100,100,1138124,341608
24,100,100,1139895,341490
24,100,100,1146186,342424
24,100,100,1141289,341542
24,100,100,1139252,343077
24,100,100,1136415,340085
24,100,100,1132518,341356
24,100,100,1142505,341583
25,100,100,1151876,342636
25,100,100,1157152,340267
25,100,100,1158795,341442
25,100,100,1157044,342087
25,100,100,1150338,341946
25,100,100,1153866,342265
25,100,100,1155951,341973
25,100,100,1151800,342558
25,100,100,1155611,346041
25,100,100,1161194,342757
25,100,100,1160887,342426
25,100,100,1157422,342908
25,100,100,1157172,342430
25,100,100,1156900,343027
25,100,100,1157179,341440
25,100,100,1155167,342156
25,100,100,1151222,342706
25,100,100,1151040,342293
25,100,100,1161749,345696
25,100,100,1161510,343530
26,100,100,1178279,342176
26,100,100,1178713,342405
26,100,100,1237418,336437
26,100,100,1151526,333993
26,100,100,1146783,333516
26,100,100,1148733,335766
26,100,100,1147216,335046
26,100,100,1151613,336194
26,100,100,1148505,336048
26,100,100,1145274,339635
26,100,100,1147497,334023
26,100,100,1149007,334605
26,100,100,1145262,335295
26,100,100,1145834,335076
26,100,100,1150069,338207
26,100,100,1147695,334293
26,100,100,1145863,336456
26,100,100,1156359,335963
26,100,100,1148841,334268
26,100,100,1148963,335445
27,100,100,1158309,334548
27,100,100,1163224,335481
27,100,100,1167134,333790
27,100,100,1166634,335311
27,100,100,1162091,334872
27,100,100,1160127,334807
27,100,100,1171733,334818
27,100,100,1162530,336302
27,100,100,1164578,334125
27,100,100,1158868,333684
27,100,100,1159161,334713
27,100,100,1166388,335797
27,100,100,1164899,334421
27,100,100,1174941,335335
27,100,100,1172269,335652
27,100,100,1171266,338085
27,100,100,1167866,333168
27,100,100,1170815,335422
27,100,100,1159823,335173
27,100,100,1166349,334724
28,100,100,1201839,349067
28,100,100,1187184,334243
28,100,100,1183883,334074
28,100,100,1187959,334864
28,100,100,1187654,335824
28,100,100,1177574,337800
28,100,100,1193161,335021
28,100,100,1186149,333893
28,100,100,1184532,335632
28,100,100,1184318,335029
28,100,100,1182244,335644
28,100,100,1183474,334678
28,100,100,1180560,334769
28,100,100,1190973,336139
28,100,100,1188748,336160
28,100,100,1190174,334970
28,100,100,1210841,336248
28,100,100,1180464,334173
28,100,100,1187705,339621
28,100,100,1187885,336292
29,100,100,1195102,336561
29,100,100,1189838,333701
29,100,100,1192615,333259
29,100,100,1186062,338843
29,100,100,1192541,334064
29,100,100,1185496,334014
29,100,100,1197611,334741
29,100,100,1191370,334248
29,100,100,1189895,334725
29,100,100,1194425,336268
29,100,100,1183585,334635
29,100,100,1185690,334690
29,100,100,1196715,336207
29,100,100,1194781,334288
29,100,100,1197252,335643
29,100,100,1188766,365754
29,100,100,1185186,334947
29,100,100,1188905,335616
29,100,100,1194929,336825
29,100,100,1187632,336193
30,100,100,1214828,337670
30,100,100,1222110,335734
30,100,100,1211178,337026
30,100,100,1216219,335717
30,100,100,1215499,334557
30,100,100,1216070,336722
30,100,100,1216807,338249
30,100,100,1215700,336091
30,100,100,1214087,336007
30,100,100,1212152,337960
30,100,100,1213524,335472
30,100,100,1214097,336316
30,100,100,1215493,336470
30,100,100,1218300,335272
30,100,100,1219932,334688
30,100,100,1219387,336184
30,100,100,1223128,336690
30,100,100,1218647,334875
30,100,100,1212644,336227
30,100,100,1213805,334588
31,100,100,1232315,334771
31,100,100,1234153,335937
31,100,100,1243268,336719
31,100,100,1235940,337462
31,100,100,1238506,340158
31,100,100,1236979,335441
31,100,100,1230312,336683
31,100,100,1230543,337509
31,100,100,1225903,339531
31,100,100,1229786,338987
31,100,100,1233865,335233
31,100,100,1227588,334195
31,100,100,1229411,335125
31,100,100,1228199,335364
31,100,100,1229076,334655
31,100,100,1226002,336297
31,100,100,1226037,335060
31,100,100,1231204,334243
31,100,100,1231893,334937
31,100,100,1234492,337912
32,100,100,1244658,334479
32,100,100,1248908,336563
32,100,100,1254095,335277
32,100,100,1250297,336131
32,100,100,1251986,339279
32,100,100,1244918,335396
32,100,100,1244449,337965
32,100,100,1248063,335320
32,100,100,1246401,339310
32,100,100,1247386,335211
32,100,100,1245974,339568
32,100,100,1243937,337112
32,100,100,1246071,334599
32,100,100,1244711,335246
32,100,100,1249189,335751
32,100,100,1244030,335440
32,100,100,1241316,336687
32,100,100,1245732,335700
32,100,100,1248671,334778
32,100,100,1249622,335503
33,100,100,1328461,343952
33,100,100,1322852,344613
33,100,100,1332687,343658
33,100,100,1334245,344855
33,100,100,1329147,343853
33,100,100,1333685,343872
33,100,100,1329142,344723
33,100,100,1333473,345634
33,100,100,1329465,347292
33,100,100,1333141,345406
33,100,100,1327999,345211
33,100,100,1339101,345155
33,100,100,1334528,347780
33,100,100,1324912,344436
33,100,100,1324335,345263
33,100,100,1321582,344592
33,100,100,1329226,347515
33,100,100,1319502,347751
33,100,100,1326587,346274
33,100,100,1326662,346146
34,100,100,1367583,350188
34,100,100,1367927,351999
34,100,100,1369850,349313
34,100,100,1366548,353654
34,100,100,1366299,349419
34,100,100,1361945,349889
34,100,100,1371388,349794
34,100,100,1369772,352295
34,100,100,1364863,350634
34,100,100,1363643,351945
34,100,100,1376538,350752
34,100,100,1373041,348693
34,100,100,1364768,351855
34,100,100,1368233,350581
34,100,100,1370001,349306
34,100,100,1366721,350816
34,100,100,1357307,350260
34,100,100,1393116,350610
34,100,100,1360822,351310
34,100,100,1358056,351327
35,100,100,1385408,353074
35,100,100,1376618,350446
35,100,100,1375132,349790
35,100,100,1382891,351400
35,100,100,1372629,350735
35,100,100,1383390,351613
35,100,100,1373156,351147
35,100,100,1378794,349790
35,100,100,1379188,349194
35,100,100,1382625,349056
35,100,100,1381891,356656
35,100,100,1392364,349513
35,100,100,1374543,351021
35,100,100,1387963,350661
35,100,100,1382617,351033
35,100,100,1380937,350416
35,100,100,1388635,351527
35,100,100,1386323,349447
35,100,100,1382750,348958
35,100,100,1383584,349554
36,100,100,1394720,346201
36,100,100,1395099,350287
36,100,100,1393167,349983
36,100,100,1406990,350489
36,100,100,1392043,349503
36,100,100,1396402,350851
36,100,100,1400707,350967
36,100,100,1391249,350874
36,100,100,1405061,349946
36,100,100,1396634,352719
36,100,100,1391279,352583
36,100,100,1396738,349818
36,100,100,1394801,349195
36,100,100,1401450,352782
36,100,100,1400108,349284
36,100,100,1389105,347964
36,100,100,1402029,349857
36,100,100,1389937,351736
36,100,100,1402002,349960
36,100,100,1395246,351230
37,100,100,1414913,348525
37,100,100,1403329,352698
37,100,100,1407295,349452
37,100,100,1405217,348962
37,100,100,1409106,351348
37,100,100,1415319,350966
37,100,100,1418196,350963
37,100,100,1405037,350268
37,100,100,1417959,352661
37,100,100,1399998,350475
37,100,100,1408667,350789
37,100,100,1401766,349401
37,100,100,1401792,350013
37,100,100,1412430,351261
37,100,100,1405438,350948
37,100,100,1404483,350256
37,100,100,1395598,349276
37,100,100,1416770,349434
37,100,100,1403241,352379
37,100,100,1404815,350094
38,100,100,1437982,348817
38,100,100,1424172,350849
38,100,100,1432099,350246
38,100,100,1425141,349040
38,100,100,1434570,350786
38,100,100,1427545,349488
38,100,100,1426699,352802
38,100,100,1458460,352079
38,100,100,1437144,352138
38,100,100,1430795,352371
38,100,100,1425529,352582
38,100,100,1434542,352739
38,100,100,1430471,350400
38,100,100,1438243,351929
38,100,100,1427845,351684
38,100,100,1432025,351526
38,100,100,1426409,354113
38,100,100,1428624,355111
38,100,100,1432408,350450
38,100,100,1433467,351312
39,100,100,1451028,349030
39,100,100,1440450,351489
39,100,100,1454818,352452
39,100,100,1448042,351413
39,100,100,1439413,351919
39,100,100,1445047,350493
39,100,100,1451997,350491
39,100,100,1445649,350732
39,100,100,1448070,352148
39,100,100,1446895,349791
39,100,100,1453755,347618
39,100,100,1447725,349829
39,100,100,1450749,349833
39,100,100,1445905,347929
39,100,100,1451666,349805
39,100,100,1445229,351558
39,100,100,1445281,352893
39,100,100,1442053,350267
39,100,100,1442851,350692
39,100,100,1447455,349952
40,100,100,1495297,351208
40,100,100,1467553,349776
40,100,100,1468765,352907
40,100,100,1468546,352229
40,100,100,1471077,352395
40,100,100,1464174,349720
40,100,100,1464794,349498
40,100,100,1494356,350982
40,100,100,1463699,350602
40,100,100,1459575,349712
40,100,100,1456590,349134
40,100,100,1461099,348627
40,100,100,1469686,351315
40,100,100,1464906,350925
40,100,100,1469938,349921
40,100,100,1460508,351751
40,100,100,1464498,351765
40,100,100,1457748,350946
40,100,100,1460875,350439
40,100,100,1458680,352464
41,100,100,1484508,351214
41,100,100,1480689,352069
41,100,100,1482518,350408
41,100,100,1483910,351225
41,100,100,1481712,350851
41,100,100,1484229,349627
41,100,100,1483095,351984
41,100,100,1488109,349386
41,100,100,1484593,352086
41,100,100,1477835,351779
41,100,100,1480802,353883
41,100,100,1485798,351336
41,100,100,1488427,352674
41,100,100,1482237,352478
41,100,100,1492558,352297
41,100,100,1482389,352726
41,100,100,1483300,351577
41,100,100,1484321,350469
41,100,100,1483149,349409
41,100,100,1484050,351446
42,100,100,1502842,350679
42,100,100,1511070,352257
42,100,100,1506795,349437
42,100,100,1506487,352391
42,100,100,1508061,349589
42,100,100,1504175,350350
42,100,100,1496603,351828
42,100,100,1502681,350384
42,100,100,1500249,353188
42,100,100,1500976,351020
42,100,100,1504587,350909
42,100,100,1502466,351113
42,100,100,1502282,350809
42,100,100,1500537,350364
42,100,100,1499122,352460
42,100,100,1498500,380001
42,100,100,1503941,351669
42,100,100,1506910,351595
42,100,100,1508075,354125
42,100,100,1505007,350276
43,100,100,1529354,351940
43,100,100,1529032,350592
43,100,100,1522964,347152
43,100,100,1530882,351331
43,100,100,1541793,350447
43,100,100,1535725,351927
43,100,100,1527866,351088
43,100,100,1531457,349411
43,100,100,1544259,350896
43,100,100,1517117,349575
43,100,100,1532985,349652
43,100,100,1527813,349358
43,100,100,1540867,352139
43,100,100,1526178,350853
43,100,100,1527492,349289
43,100,100,1520179,350452
43,100,100,1534812,351485
43,100,100,1525383,349476
43,100,100,1541598,349643
43,100,100,1529628,351330
44,100,100,1549814,351275
44,100,100,1545844,348872
44,100,100,1545503,349917
44,100,100,1555157,348888
44,100,100,1546499,350146
44,100,100,1543602,368313
44,100,100,1546340,350236
44,100,100,1543962,350030
44,100,100,1548230,350245
44,100,100,1552488,352100
44,100,100,1551004,350133
44,100,100,1549429,351278
44,100,100,1548702,351516
44,100,100,1545465,350649
44,100,100,1560667,351989
44,100,100,1552716,350666
44,100,100,1552078,383619
44,100,100,1543856,349577
44,100,100,1553945,350986
44,100,100,1552019,350568
45,100,100,1559065,349933
45,100,100,1558395,351559
45,100,100,1552075,350925
45,100,100,1559209,350439
45,100,100,1561456,353593
45,100,100,1551832,353857
45,100,100,1551030,351803
45,100,100,1556945,349885
45,100,100,1548297,350490
45,100,100,1555476,349018
45,100,100,1553756,355341
45,100,100,1549328,352674
45,100,100,1550999,350197
45,100,100,1564035,351418
45,100,100,1555941,349141
45,100,100,1551250,352169
45,100,100,1556609,349965
45,100,100,1558136,351890
45,100,100,1557171,350585
45,100,100,1554771,353964
46,100,100,1568291,351803
46,100,100,1573531,354832
46,100,100,1574005,351368
46,100,100,1573951,355356
46,100,100,1580192,352752
46,100,100,1602033,350557
46,100,100,1571537,351667
46,100,100,1610286,350253
46,100,100,1575729,350130
46,100,100,1580247,351736
46,100,100,1582686,353099
46,100,100,1577525,352388
46,100,100,1581165,351142
46,100,100,1578839,352569
46,100,100,1582365,352431
46,100,100,1609923,352125
46,100,100,1579041,350024
46,100,100,1579782,353002
46,100,100,1576666,348811
46,100,100,1578929,353288
47,100,100,1589374,349947
47,100,100,1600987,351591
47,100,100,1600585,352921
47,100,100,1593923,383552
47,100,100,1596809,352685
47,100,100,1590086,351622
47,100,100,1604285,351724
47,100,100,1596390,349790
47,100,100,1602057,352986
47,100,100,1600257,350592
47,100,100,1583412,351615
47,100,100,1597100,351484
47,100,100,1602017,351073
47,100,100,1592901,351389
47,100,100,1624351,351046
47,100,100,1587351,351307
47,100,100,1600772,351328
47,100,100,1595064,351755
47,100,100,1596603,350992
47,100,100,1598257,351386
48,100,100,1630877,352685
48,100,100,1621172,351721
48,100,100,1625017,351968
48,100,100,1611417,354934
48,100,100,1611492,353904
48,100,100,1618180,350003
48,100,100,1621143,351074
48,100,100,1619285,351154
48,100,100,1625369,353362
48,100,100,1606484,352115
48,100,100,1627806,351964
48,100,100,1612585,349437
48,100,100,1625477,350108
48,100,100,1630430,350288
48,100,100,1617326,353190
48,100,100,1612337,353469
48,100,100,1612242,354498
48,100,100,1610602,350097
48,100,100,1617777,350599
48,100,100,1611460,350881
49,100,100,1650869,352021
49,100,100,1647227,353204
49,100,100,1642686,352994
49,100,100,1640022,349782
49,100,100,1647812,352369
49,100,100,1637246,352343
49,100,100,1640122,353121
49,100,100,1646924,350682
49,100,100,1650934,353738
49,100,100,1636412,349932
49,100,100,1638822,349734
49,100,100,1635323,353334
49,100,100,1630494,351982
49,100,100,1638404,353142
49,100,100,1646298,354922
49,100,100,1629139,351329
49,100,100,1636701,351544
49,100,100,1648982,349569
49,100,100,1627411,351826
49,100,100,1642509,352603
50,100,100,1657186,352558
50,100,100,1662150,351072
50,100,100,1651508,350342
50,100,100,1647954,355386
50,100,100,1658635,352916
50,100,100,1641506,353137
50,100,100,1661819,351365
50,100,100,1660965,351684
50,100,100,1664746,353441
50,100,100,1653419,351425
50,100,100,1694176,351331
50,100,100,1662966,351127
50,100,100,1663564,352629
50,100,100,1653548,350345
50,100,100,1661177,351301
50,100,100,1655168,381659
50,100,100,1642214,352578
50,100,100,1648300,351307
50,100,100,1656608,353437
50,100,100,1666673,352355
51,100,100,1678763,353284
51,100,100,1682912,354447
51,100,100,1676200,352902
51,100,100,1692192,353587
51,100,100,1685515,353635
51,100,100,1682456,352424
51,100,100,1681585,353142
51,100,100,1703296,365820
51,100,100,1691530,350434
51,100,100,1682567,351190
51,100,100,1677409,352426
51,100,100,1676364,351883
51,100,100,1676773,354332
51,100,100,1678705,351859
51,100,100,1715154,354490
51,100,100,1685038,352847
51,100,100,1678357,356483
51,100,100,1678052,349464
51,100,100,1680754,350596
51,100,100,1687552,352926
52,100,100,1686097,352983
52,100,100,1682978,351087
52,100,100,1680015,351162
52,100,100,1682624,352340
52,100,100,1687502,352565
52,100,100,1693287,350823
52,100,100,1695723,352598
52,100,100,1697134,351730
52,100,100,1684321,353653
52,100,100,1686997,350453
52,100,100,1689599,351965
52,100,100,1678736,350479
52,100,100,1678850,352121
52,100,100,1682255,353977
52,100,100,1685662,351550
52,100,100,1691085,352515
52,100,100,1699194,352237
52,100,100,1692381,352743
52,100,100,1692157,355236
52,100,100,1687645,354051
53,100,100,1712347,352771
53,100,100,1722746,352783
53,100,100,1709636,352253
53,100,100,1714518,353683
53,100,100,1719466,351826
53,100,100,1718344,352327
53,100,100,1712593,352060
53,100,100,1722603,353723
53,100,100,1745957,352428
53,100,100,1715991,350551
53,100,100,1716275,351580
53,100,100,1744675,351839
53,100,100,1719956,352410
53,100,100,1720605,354031
53,100,100,1714112,352178
53,100,100,1718059,351423
53,100,100,1716048,351575
53,100,100,1716724,351464
53,100,100,1709172,355464
53,100,100,1715573,350692
54,100,100,1738813,352207
54,100,100,1733035,352189
54,100,100,1732649,353212
54,100,100,1731948,351906
54,100,100,1733028,351685
54,100,100,1730463,352086
54,100,100,1731656,351975
54,100,100,1731259,349502
54,100,100,1731613,352368
54,100,100,1739050,351352
54,100,100,1741026,354103
54,100,100,1738958,351818
54,100,100,1727757,353995
54,100,100,1740848,353272
54,100,100,1736986,356134
54,100,100,1740881,352385
54,100,100,1747952,356695
54,100,100,1728726,351179
54,100,100,1736679,354450
54,100,100,1726110,353107
55,100,100,1757748,354630
55,100,100,1751574,354625
55,100,100,1784272,352312
55,100,100,1751041,351934
55,100,100,1746815,354866
55,100,100,1782314,353744
55,100,100,1752398,353561
55,100,100,1750120,353170
55,100,100,1750437,352588
55,100,100,1757926,351011
55,100,100,1744243,352678
55,100,100,1754663,353356
